loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist,pl_bmass (Msun)
2641,HD 191939 d,HD 191939,1,1,6,0,Transit,38.353037,0.2132,0.267,0.00881,0.031,89.49,G9 V,5348.0,0.94,0.81,-0.15,[Fe/H],-0.187,8.7,53.6089,8.410026e-06
2643,HD 191939 e,HD 191939,1,1,6,0,Radial Velocity,101.12,0.407,,0.35302,0.031,,G9 V,5348.0,0.94,0.81,-0.15,[Fe/H],-0.187,8.7,53.6089,0.000336992892
2647,HD 191939 f,HD 191939,1,1,6,0,Radial Velocity,2200.0,3.2,,2.07659,,,G9 V,5348.0,0.94,0.81,-0.15,[Fe/H],-0.187,8.7,53.6089,0.0019823128139999997
2648,HD 191939 g,HD 191939,1,1,6,0,Radial Velocity,284.0,0.812,,0.04248,0.03,,G9 V,5348.0,0.94,0.81,-0.15,[Fe/H],-0.187,8.7,53.6089,4.0551407999999995e-05
2656,HD 192263 b,HD 192263,1,1,1,0,Radial Velocity,24.3556,0.15,,0.56,0.05,,,4976.0,0.74,0.66,0.03,[Fe/H],,,19.6359,0.000534576
2659,HD 192310 b,HD 192310,1,1,2,0,Radial Velocity,74.72,0.32,,0.0532,0.13,90.0,,5166.0,,0.8,-0.04,[Fe/H],-0.415,7.81,8.79687,5.0784719999999996e-05
2660,HD 192310 c,HD 192310,1,1,2,0,Radial Velocity,525.8,1.18,,0.076,0.32,90.0,,5166.0,,0.8,-0.04,[Fe/H],-0.415,7.81,8.79687,7.25496e-05
2663,HD 192699 b,HD 192699,1,1,1,0,Radial Velocity,340.94,1.063,,2.096,0.082,,,5041.0,4.41,1.38,,,,,71.8627,0.0020008416
2665,HD 194490 b,HD 194490,1,1,1,0,Radial Velocity,13092.18348,11.116,,11.207,0.251,57.99,,,,1.06,,,,,80.2349,0.010698202200000001
2666,HD 195019 b,HD 195019,1,2,1,0,Radial Velocity,18.20132,0.14,,3.98,0.01,,,5751.0,1.48,1.21,0.05,[Fe/H],,,37.6681,0.003799308
2674,HD 196050 b,HD 196050,1,3,1,0,Radial Velocity,1392.0,2.65,,4.7,0.2,42.0,G3 V,,,1.27,,,,4.3,50.6742,0.00448662
