loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist,pl_bmass (Msun)
2694,HD 200964 c,HD 200964,1,1,2,0,Radial Velocity,852.5,1.96,,1.214,0.243,,,4982.0,4.92,1.39,,,,,72.5922,0.0011588844
2699,HD 202696 b,HD 202696,1,1,2,0,Radial Velocity,517.8,1.566,,1.996,0.011,90.0,K0 III-IV,5040.0,6.43,1.91,0.02,[Fe/H],1.369,1.32,188.546,0.0019053816
2700,HD 202696 c,HD 202696,1,1,2,0,Radial Velocity,946.6,2.342,,1.864,0.028,90.0,K0 III-IV,5040.0,6.43,1.91,0.02,[Fe/H],1.369,1.32,188.546,0.0017793744000000002
2709,HD 203387 c,HD 203387,1,1,2,0,Radial Velocity,2481.07227,5.067,,7.485,0.202,158.462,,,,2.82,,,,,61.7477,0.0071451810000000004
2716,HD 204313 b,HD 204313,1,1,3,0,Radial Velocity,2041.11539,3.185,,4.615,0.1,72.917,,,,1.03,,,,,47.7945,0.004405479
2845,HD 217107 b,HD 217107,1,1,2,0,Radial Velocity,7.12682,0.08,,1.3,0.13,,,5622.0,1.11,1.0,0.36,[Fe/H],,,20.0619,0.00124098
2892,HD 219134 h,HD 219134,1,1,6,0,Radial Velocity,2247.0,3.11,,0.34,0.06,,K3 V,4913.0,0.77,0.79,0.08,[Fe/H],-0.509,12.46,6.53127,0.000324564
2987,HD 24040 b,HD 24040,1,1,2,0,Radial Velocity,3668.0,4.92,,3.86,0.04,,,5802.0,1.3,1.11,0.19,[Fe/H],,,46.6224,0.003684756
3025,HD 27894 b,HD 27894,1,1,3,0,Radial Velocity,18.01939,0.125,,0.619,0.047,,,,,0.81,,,,,43.8214,0.0005908974
3041,HD 28185 b,HD 28185,1,1,2,0,Radial Velocity,385.52775,1.035,,5.837,0.055,,,,,0.99,,,,,39.3809,0.0055720002
3069,HD 30177 b,HD 30177,1,1,2,0,Radial Velocity,2514.53422,3.604,,8.403,0.207,85.393,,,,0.98,,,,,55.5867,0.008021503800000001
3075,HD 30177 c,HD 30177,1,1,2,0,Radial Velocity,12085.45186,10.258,,6.15,0.039,98.016,,,,0.98,,,,,55.5867,0.005870790000000001
3126,HD 33142 b,HD 33142,1,1,3,0,Radial Velocity,330.0,1.074,,1.26,0.049,,K0 III,5025.4,4.17,1.52,0.06,[Fe/H],1.0,2.72,121.375,0.0012027960000000001
3128,HD 33142 c,HD 33142,1,1,3,0,Radial Velocity,810.2,1.955,,0.89,0.081,,K0 III,5025.4,4.17,1.52,0.06,[Fe/H],1.0,2.72,121.375,0.0008495940000000001
3142,HD 33844 b,HD 33844,1,1,2,0,Radial Velocity,551.40002,1.6,,2.01,0.15,,,4861.0,5.39,1.84,0.27,[Fe/H],,,105.779,0.0019187459999999998
3144,HD 33844 c,HD 33844,1,1,2,0,Radial Velocity,916.0,2.24,,1.75,0.13,,K0 III,4861.0,5.29,1.78,0.27,[Fe/H],1.149,1.88,105.779,0.00167055
3153,HD 34445 g,HD 34445,1,1,6,0,Radial Velocity,5700.0,6.36,,0.38,0.032,,G0 V,5836.0,1.38,1.07,0.14,[Fe/H],0.303,8.5,46.0907,0.00036274800000000003
3164,HD 37124 b,HD 37124,1,1,3,0,Radial Velocity,154.378,0.53364,,0.675,0.054,,G4 V,,,0.85,-0.44,[Fe/H],,,31.6634,0.000644355
3171,HD 37124 c,HD 37124,1,1,3,0,Radial Velocity,885.5,1.71,,0.652,0.125,,G4 V,,,0.85,-0.44,[Fe/H],,,31.6634,0.0006223992
3174,HD 37124 d,HD 37124,1,1,3,0,Radial Velocity,1862.0,2.807,,0.696,0.16,,G4 V,,,0.85,-0.44,[Fe/H],,,31.6634,0.0006644016
3183,HD 37605 c,HD 37605,1,1,2,0,Radial Velocity,2720.0,3.74,,3.19,0.03,,K0,5329.0,0.91,0.94,0.27,[Fe/H],-0.22,5.65,46.7864,0.003045174
3250,HD 4203 c,HD 4203,1,1,2,0,Radial Velocity,6700.0,6.95,,2.17,0.24,,,5582.0,1.5,0.99,0.34,[M/H],0.293,,81.3795,0.002071482
3271,HD 43197 c,HD 43197,1,1,2,0,Radial Velocity,9295.9735,8.54,,7.868,0.149,11.42,,,,0.96,,,,,62.4112,0.0075107928
3286,HD 45364 c,HD 45364,1,1,2,0,Radial Velocity,345.43,0.902,,0.549,0.019,,K0 V,5466.0,0.89,0.82,,,-0.196,,34.354,0.0005240754000000001
3297,HD 47186 c,HD 47186,1,1,2,0,Radial Velocity,1353.6,2.395,,0.35061,0.249,,,,,,,,,,37.4574,0.00033469230599999996
3303,HD 47366 b,HD 47366,1,1,2,0,Radial Velocity,360.08,1.207,,2.082,0.071,,K1 III,4866.0,7.3,1.81,-0.02,[Fe/H],1.417,1.61,84.3552,0.0019874771999999997
3306,HD 47366 c,HD 47366,1,1,2,0,Radial Velocity,677.53,1.84,,1.522,0.161,,K1 III,4866.0,7.3,1.81,-0.02,[Fe/H],1.417,1.61,84.3552,0.0014529012
3328,HD 50499 c,HD 50499,1,1,2,0,Radial Velocity,8619.9,9.02,,2.93,0.0,,G1 V,6099.0,1.42,1.31,0.38,[Fe/H],,2.4,46.2845,0.0027969780000000003
3349,HD 5319 b,HD 5319,1,1,2,0,Radial Velocity,637.1,1.57,,1.556,0.092,,,4871.0,4.06,1.27,,,,,121.405,0.0014853576
3353,HD 5319 c,HD 5319,1,1,2,0,Radial Velocity,872.2,1.93,,1.053,0.183,,,4871.0,4.06,1.27,,,,,121.405,0.0010051938
3374,HD 60532 c,HD 60532,1,1,2,0,Radial Velocity,600.1,1.6,,2.51,0.03,,,6245.0,2.57,1.5,-0.26,[Fe/H],,2.8,25.9716,0.0023960459999999998
3433,HD 66428 c,HD 66428,1,1,2,0,Radial Velocity,10478.84437,9.408,,1.764,0.207,93.938,,,,1.01,,,,,53.2817,0.0016839144
3435,HD 67087 b,HD 67087,1,1,2,0,Radial Velocity,352.2,1.08,,3.06,0.17,,F8 V,6330.0,1.55,1.36,0.25,[Fe/H],0.54,1.45,76.5217,0.002921076
