a1,f1,megno1,final_e1,final_theta1,a2,f2,megno2,final_e2,final_theta2,stable1,stable2
0.988,1.463939433815652,10.0,0.9917329017476589,138.61509182289453,0.988,1.463939433815652,10.0,1.2226572174305772,95.07767815479055,0,0
0.988,1.4853108124115009,10.0,0.9853434351880496,99.88393624041721,0.988,1.4853108124115009,10.0,0.8069060574491709,136.51705352401444,0,0
0.988,1.50668219100735,10.0,3.8773593201375034,197.65403130820144,0.988,1.50668219100735,10.0,2.218559517020878,155.36978073601892,0,0
0.988,1.5280535696031987,10.0,2.8625001636752985,133.19894859505996,0.988,1.5280535696031987,10.0,1.0459396604876434,3.1799702095303006,0,0
0.988,1.5494249481990479,10.0,0.9025320496553024,239.47220233060307,0.988,1.5494249481990479,10.0,15.568106536591712,156.00989493089696,0,0
0.988,1.5707963267948963,10.0,1.0125491057801728,32.856239731172735,0.988,1.5707963267948963,10.0,3.102552359268968,2.948622144935604,0,0
0.9901224489795917,0.5235987755982988,10.0,2.5962722236549114,66.02691405160938,0.9901224489795917,0.5235987755982988,10.0,1.7218129372278335,14.288144358619617,0,0
0.9901224489795917,0.5449701541941476,10.0,0.9823339932847427,44.91157407928023,0.9901224489795917,0.5449701541941476,56.095364403970976,0.7211036188481662,184.55372072326307,0,0
0.9901224489795917,0.5663415327899968,10.0,1.2265246367182732,1.5427030835025695,0.9901224489795917,0.5663415327899968,10.0,17.90163097519818,143.04194985788283,0,0
0.9901224489795917,0.5877129113858456,10.0,3.3186158205197485,186.14812427422092,0.9901224489795917,0.5877129113858456,10.0,1.0906253083615687,19.648142689660055,0,0
0.9901224489795917,0.6090842899816946,10.0,2.061203564453172,177.0524034815065,0.9901224489795917,0.6090842899816946,10.0,2.8021038028891905,28.99325373837044,0,0
0.9901224489795917,0.6304556685775435,10.0,1.0457284195391257,255.00502887399975,0.9901224489795917,0.6304556685775435,10.0,1.9368290536403852,85.09763296091334,0,0
0.9901224489795917,0.6518270471733925,10.0,1.5148421167458657,149.64157581125207,0.9901224489795917,0.6518270471733925,10.0,3.1094062914107945,73.37389032287402,0,0
0.9901224489795917,0.6731984257692414,10.0,12.53915171838352,143.52544346903863,0.9901224489795917,0.6731984257692414,10.0,1.292342967011138,235.8423933930247,0,0
0.9901224489795917,0.6945698043650903,10.0,5529.8109717924,58.17789768480321,0.9901224489795917,0.6945698043650903,10.0,0.9231265171570602,21.05331955150429,0,0
0.9901224489795917,0.7159411829609392,10.0,2.9426042362867566,58.06591007294255,0.9901224489795917,0.7159411829609392,10.0,0.9101055449107012,184.29975885839116,0,0
0.9901224489795917,0.7373125615567881,10.0,0.9439734623025536,68.17148862174894,0.9901224489795917,0.7373125615567881,10.0,6.551770603070865,104.14205764660778,0,0
0.9901224489795917,0.758683940152637,10.0,27.91618733411397,64.17847551295723,0.9901224489795917,0.758683940152637,10.0,3.2159069505408855,100.63703650760272,0,0
0.9901224489795917,0.7800553187484861,10.0,1.2763023823033115,17.643611658437337,0.9901224489795917,0.7800553187484861,10.0,21.272044413042572,8.357324834995797,0,0
0.9901224489795917,0.8014266973443349,10.0,923991.3080891882,228.3042646074208,0.9901224489795917,0.8014266973443349,10.0,8.686509368007096,74.27405652777429,0,0
0.9901224489795917,0.8227980759401838,10.0,2803.840123241705,154.10626037968507,0.9901224489795917,0.8227980759401838,10.0,61.120763502087314,28.94540533319059,0,0
0.9901224489795917,0.8441694545360328,10.0,1.2793577573211647,227.9314005060942,0.9901224489795917,0.8441694545360328,10.0,0.9638103644145608,98.47670419809948,0,0
0.9901224489795917,0.8655408331318819,10.0,1.3644941520937333,112.47406319207964,0.9901224489795917,0.8655408331318819,10.0,126.1063818553889,10.613026441571884,0,0
0.9901224489795917,0.8869122117277307,10.0,2.039000167093032,126.05978261540471,0.9901224489795917,0.8869122117277307,10.0,0.9206078823471826,55.65474679658436,0,0
0.9901224489795917,0.9082835903235795,10.0,9.243177997621185,92.78432811608428,0.9901224489795917,0.9082835903235795,10.0,1.5579664033795968,15.710988254388983,0,0
0.9901224489795917,0.9296549689194287,10.0,1.3256972257427444,58.38947694025346,0.9901224489795917,0.9296549689194287,10.0,5.0357674232745095,138.4584376503064,0,0
0.9901224489795917,0.9510263475152778,10.0,1.383985768722984,123.25452088176596,0.9901224489795917,0.9510263475152778,10.0,2.315259023010096,68.30193560970594,0,0
0.9901224489795917,0.9723977261111264,10.0,1.4259901959120527,177.95869329757755,0.9901224489795917,0.9723977261111264,10.0,5.4762116766863915,265.13558981766585,0,0
0.9901224489795917,0.9937691047069753,10.0,2.1767991370030546,28.161241704828292,0.9901224489795917,0.9937691047069753,10.0,504.39166485768186,163.03623623398397,0,0
0.9901224489795917,1.0151404833028244,10.0,2.6000867510056462,37.28301980728357,0.9901224489795917,1.0151404833028244,10.0,3.565168308899472,148.09036472273849,0,0
0.9901224489795917,1.0365118618986733,10.0,1.449588517708422,29.4424068958849,0.9901224489795917,1.0365118618986733,10.0,1.602783359112388,25.95237372466593,0,0
0.9901224489795917,1.0578832404945222,10.0,1.1501586243062611,140.66388964488112,0.9901224489795917,1.0578832404945222,10.0,2.0849779879060764,284.39294586826384,0,0
0.9901224489795917,1.0792546190903711,10.0,1206.1259574392527,19.85822293035853,0.9901224489795917,1.0792546190903711,10.0,3.2603359022032232,67.054845669075,0,0
0.9901224489795917,1.10062599768622,10.0,3.0863452138250795,112.87782652630884,0.9901224489795917,1.10062599768622,10.0,0.7913521510496763,32.56250760825068,0,0
0.9901224489795917,1.1219973762820687,10.0,1.047331775708278,192.52641616921596,0.9901224489795917,1.1219973762820687,10.0,5.741900022416797,43.43405905230246,0,0
0.9901224489795917,1.143368754877918,10.0,2.2167698725887064,40.103696617956125,0.9901224489795917,1.143368754877918,10.0,2.728638459399003,302.7821321878659,0,0
0.9901224489795917,1.1647401334737668,10.0,1.115974140147145,119.85212191841772,0.9901224489795917,1.1647401334737668,10.0,4.9328746160709676,38.55664563453576,0,0
0.9901224489795917,1.186111512069616,10.0,1.843047261212582,128.7705520257867,0.9901224489795917,1.186111512069616,10.0,0.9451436112236522,57.47887626396199,0,0
0.9901224489795917,1.2074828906654647,10.0,1.8240309361387907,123.04030454673116,0.9901224489795917,1.2074828906654647,10.0,6.0512281087138575,133.63632683996593,0,0
0.9901224489795917,1.2288542692613138,10.0,1.0431341049302492,174.96690586839185,0.9901224489795917,1.2288542692613138,10.0,1.0355988820182616,157.440589444097,0,0
0.9901224489795917,1.2502256478571625,10.0,21.607352544957177,191.04560268275625,0.9901224489795917,1.2502256478571625,10.0,4.180675801544373,197.44421538595608,0,0
0.9901224489795917,1.2715970264530116,10.0,0.9816336676158841,62.3762203920911,0.9901224489795917,1.2715970264530116,10.0,1.0226510320561644,26.402759107332656,0,0
0.9901224489795917,1.2929684050488603,10.0,0.9959547832123533,36.62856910355879,0.9901224489795917,1.2929684050488603,10.0,1.378013930236591,21.544784848229984,0,0
