a1,f1,megno1,final_e1,final_theta1,a2,f2,megno2,final_e2,final_theta2,a3,f3,megno3,final_e3,final_theta3,stable1,stable2,stable3
1.9992857142857143,1.3998252980281052,10.0,3.782450691913812,144.877262579457,1.9992857142857143,1.3998252980281052,8.47147638296787,0.03727857594981272,41.73323955194716,1.9992857142857143,1.3998252980281052,9.813460600330544,0.08864822312968826,83.47566743576162,0,0,0
1.9992857142857143,1.421196676623954,7.091523114605101,0.014521077144680457,39.8255704921429,1.9992857142857143,1.421196676623954,10.0,2.899280604084333,18.96875993891312,1.9992857142857143,1.421196676623954,10.0,2.5877149607890004,110.02967045781087,0,0,0
1.9992857142857143,1.442568055219803,14.96214788003829,0.04760448556195849,27.820907875215113,1.9992857142857143,1.442568055219803,10.0,18.2720635188812,258.2958163014655,1.9992857142857143,1.442568055219803,10.0,6.576399971694872,204.9761971752098,0,0,0
1.9992857142857143,1.463939433815652,55.328360914693214,0.7439631610437611,291.80085633941377,1.9992857142857143,1.463939433815652,5.596409031797291,0.07059116262154574,92.19578753412598,1.9992857142857143,1.463939433815652,10.0,3.3863915936399804,214.75664771021536,0,0,0
1.9992857142857143,1.4853108124115009,11.907900728085195,0.0459602112910906,75.46325241392967,1.9992857142857143,1.4853108124115009,4.633270498582784,0.040879055906683975,110.71300681407628,1.9992857142857143,1.4853108124115009,3.727037799278599,0.13790988976911794,68.79267206273893,0,0,0
1.9992857142857143,1.50668219100735,4.658980221180287,0.03050722016495491,107.61195854262871,1.9992857142857143,1.50668219100735,10.0,3.1119797565051406,5.116625560599327,1.9992857142857143,1.50668219100735,297.6742171413591,0.9996974006718083,247.6718203324364,0,0,0
1.9992857142857143,1.5280535696031987,9.70319070570164,0.036805150556278886,107.27254286784913,1.9992857142857143,1.5280535696031987,10.0,6.082202095878944,200.09156467085137,1.9992857142857143,1.5280535696031987,9.698955836337785,0.1394405322393146,67.25617650718517,0,0,0
1.9992857142857143,1.5494249481990479,6.223086090829964,0.037823038600288766,79.5104992197787,1.9992857142857143,1.5494249481990479,6.743692587585893,0.060771226793557946,75.76789681335184,1.9992857142857143,1.5494249481990479,10.0,1.3424653986234412,56.501660618649886,0,0,0
1.9992857142857143,1.5707963267948963,8.204219571702492,0.035898950502809134,68.72683304419246,1.9992857142857143,1.5707963267948963,3.1259410074201623,0.061121812788348315,94.35707697026136,1.9992857142857143,1.5707963267948963,10.0,0.891447359500487,105.15854099037249,0,0,0
2.0035714285714286,0.5235987755982988,10.0,0.9745916381592163,140.7934025424733,2.0035714285714286,0.5235987755982988,10.0,0.8052362427303911,150.19516186336435,2.0035714285714286,0.5235987755982988,10.0,2.4057128269965284,186.68273303779796,0,0,0
2.0035714285714286,0.5449701541941476,10.0,1.3103528012396164,131.68547950889013,2.0035714285714286,0.5449701541941476,10.0,1.343203347721618,114.13482367222036,2.0035714285714286,0.5449701541941476,10.0,10.881434967178036,271.55575613466806,0,0,0
2.0035714285714286,0.5663415327899968,10.0,802.95076100155,255.81520827122327,2.0035714285714286,0.5663415327899968,10.0,1.7012137531953087,200.98366984291647,2.0035714285714286,0.5663415327899968,10.0,0.9784021220898227,116.37745649293969,0,0,0
